angle_of_attack,reynolds_number,cl,cd
14.0,2000000,1.217,0.0522
14.5,2000000,1.229,0.0589
15.0,2000000,1.235,0.0668
15.5,2000000,1.195,0.091
16.0,2000000,1.092,0.112
16.5,2000000,0.997,0.134
17.0,2000000,0.921,0.158
17.5,2000000,0.871,0.184
18.0,2000000,0.829,0.211
18.5,2000000,0.799,0.24
19.0,2000000,0.772,0.272
19.5,2000000,0.749,0.306
20.0,2000000,0.728,0.342
